nominal;data;curs;cdx
10;25.03.2022;"12.576";Индийских рупий
10;24.03.2022;"13.5199";Индийских рупий
10;23.03.2022;"13.6605";Индийских рупий
10;22.03.2022;"13.7513";Индийских рупий
10;19.03.2022;"13.7131";Индийских рупий
10;18.03.2022;"13.8249";Индийских рупий
10;17.03.2022;"14.168";Индийских рупий
10;16.03.2022;"14.5517";Индийских рупий
10;15.03.2022;"15.0926";Индийских рупий
10;12.03.2022;"15.2964";Индийских рупий
10;11.03.2022;"15.7716";Индийских рупий
10;10.03.2022;"15.1904";Индийских рупий
10;05.03.2022;"13.8989";Индийских рупий
10;04.03.2022;"14.7408";Индийских рупий
10;03.03.2022;"13.6331";Индийских рупий
10;02.03.2022;"12.1817";Индийских рупий
10;01.03.2022;"12.3927";Индийских рупий
10;26.02.2022;"11.0833";Индийских рупий
10;25.02.2022;"11.5478";Индийских рупий
10;23.02.2022;"10.738";Индийских рупий
10;22.02.2022;"10.3209";Индийских рупий
10;19.02.2022;"10.1344";Индийских рупий
10;18.02.2022;"10.0809";Индийских рупий
10;17.02.2022;"10.0005";Индийских рупий
10;16.02.2022;"10.0906";Индийских рупий
10;15.02.2022;"10.1298";Индийских рупий
100;12.02.2022;"99.5839";Индийских рупий
100;11.02.2022;"99.6169";Индийских рупий
100;10.02.2022;"99.9753";Индийских рупий
10;09.02.2022;"10.0741";Индийских рупий
10;08.02.2022;"10.13";Индийских рупий
10;05.02.2022;"10.1789";Индийских рупий
10;04.02.2022;"10.2322";Индийских рупий
10;03.02.2022;"10.2094";Индийских рупий
10;02.02.2022;"10.3097";Индийских рупий
10;01.02.2022;"10.3701";Индийских рупий
10;29.01.2022;"10.3682";Индийских рупий
10;28.01.2022;"10.4903";Индийских рупий
10;27.01.2022;"10.5352";Индийских рупий
10;26.01.2022;"10.5196";Индийских рупий
10;25.01.2022;"10.3666";Индийских рупий
10;22.01.2022;"10.2985";Индийских рупий
10;21.01.2022;"10.274";Индийских рупий
10;20.01.2022;"10.302";Индийских рупий
10;19.01.2022;"10.2502";Индийских рупий
10;18.01.2022;"10.2329";Индийских рупий
10;15.01.2022;"10.2189";Индийских рупий
10;14.01.2022;"10.083";Индийских рупий
10;13.01.2022;"10.0642";Индийских рупий
10;12.01.2022;"10.1362";Индийских рупий
10;11.01.2022;"10.131";Индийских рупий
100;31.12.2021;"99.8422";Индийских рупий
100;30.12.2021;"98.4361";Индийских рупий
100;29.12.2021;"98.4184";Индийских рупий
100;28.12.2021;"97.6732";Индийских рупий
100;25.12.2021;"97.4711";Индийских рупий
100;24.12.2021;"97.5101";Индийских рупий
100;23.12.2021;"97.6531";Индийских рупий
100;22.12.2021;"97.7446";Индийских рупий
100;21.12.2021;"97.9095";Индийских рупий
100;18.12.2021;"96.84";Индийских рупий
100;17.12.2021;"96.6384";Индийских рупий
100;16.12.2021;"97.1021";Индийских рупий
100;15.12.2021;"96.8652";Индийских рупий
100;14.12.2021;"96.9592";Индийских рупий
100;11.12.2021;"97.0779";Индийских рупий
100;10.12.2021;"97.4541";Индийских рупий
100;09.12.2021;"97.7663";Индийских рупий
100;08.12.2021;"98.2701";Индийских рупий
100;07.12.2021;"97.7534";Индийских рупий
